id,nom,groupe,siret
8905,GE ENERGY POWER CONVERSION FRANCE,,48121369200058
8906,ASSURANCES 2000,,30536216204062
8908,MILKY,,51123386800039
8909,ENOE,,52747469600012
8910,3 V FINANCE,,34019298800053
8911,QUINTIQ FRANCE,,79146837400016
8915,ANTVOICE SOCIAL FACTORY,,49234289400051
8916,SA SOFIMPRO,,38394057400015
8917,RALPH LAUREN FRANCE SAS,,34287940000014
8918,NEUROS,,48337554900035
8919,J'OCEANE,,38155235500038
8920,LABCO,,44865008500047
8921,HUGO & CIE,,48009968800016
8922,EKODEV,,51841243200024
8923,EDITIONS LEGISLATIVES,,73201140800042
8924,ECOFI INVESTISSEMENTS,,99999036900061
8926,CROSSWAYS INVESTMENT,,52300550200019
8927,COMPAGNIE MEETING,,41389344700032
8928,CAPITALE MUSIC,,53483611900014
8929,CAISSE D EPARGNE ET DE PREVOYANCE,BPCE,77555940400014
8930,BENTLEY SYSTEMS FRANCE (B S F),,39913713200037
8931,BEMOBEE SOLUTIONS,,51484476000025
8932,BANQUE FRANCAISE,,34447841700019
8933,ARPEGE,,31214777000548
8934,APOGEA,,42885146300011
8935,DUONS,,48800693300011
8936,M C S REGIE,,43229203500016
8937,EXPERT ET MANAGER,,48511191800044
8938,EMPREINTE MULTIMEDIA SA,,39847894100048
8942,SIVP DENT STE INTERNAT VENT PROT DENT SVP-D,,45042340500023
8943,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX,VEOLIA,77202552600029
8944,CISCO VIDEO TECHNOLOGIES FRANCE,CISCO GROUP,44357369600038
8945,MERSEN CORPORATE SERVICES SAS,,43380313700010
8947,L ACADEMY,,50959371100013
8948,IAD FRANCE (I?D),,50367642100038
8949,BANK OF CHINA LIMITED,,32228469600018
8950,AKTING,,42202102200021
8951,CAPET INGENIERIE,,42823284700023
8952,B FINANCE,,40209629100016
8953,COMECA SYSTEMES,,39821509500025
8954,BESSON VAN VEEREN BARLEST VERONIQUE,,35216752200031
8955,CARRIER KHEOPS BAC,,55203356500094
8956,ETHIC PROD,,49217381000010
8958,SOCOMIE,,31860720700046
8959,FITECO (F.I.T.E.C.O.),,55715006700972
8963,VINCENS THIBAULT CLEMENT PAUL,,51907814100016
8964,DELPEYROUX PATRICK,,32140278600024
8965,COMPAGNIE DES ALPES (CDA),,34957790800040
8970,IDAN,,32931354800045
8971,GODON ETAIEMENT,GODON SAS,33978748300025
8972,PACK SERVICES,,47969692400022
8973,KOALABS,,53862412300013
8974,DEKRA AUTOMOTIVE SOLUTIONS,,41176883100082
8975,3RD WAVE CONSULT,,50510082600021
8978,BEEZUP,,51420629100023
8979,RAACO FRANCE,,68980217100041
8980,PROFORMATION SA,,33751741100019
8981,UNITED COCONUT PLANTERS INTERNATIONAL UCPI,,32098983300027
8982,CIE FINANCIERE ET DE PARTICIPATIONS ROULLIER (C.F.P.R.),,31364254800025
8983,DESRUES,,33151885200024
8984,DISASOLAR,,52530589200016
8985,ITAC,,56202247500031
8986,LES MAGASINS GENERAUX DE LA COMMUNICATION D'ENTREPRISE,,34213436800014
8988,NUTRIXO,,42095087500039
8989,SPIR COMMUNICATION (SPIR),,31708267502343
8990,AGENCE FRANCAISE DE DEVELOPPEMENT,,77566559900129
8991,ECO6SYSTEMES,,53040881400016
8992,DRAGONKNIGHT ADVISORS,,49378282500027
8993,MOME SWEET MOME MSM,,48312925000062
8994,RAILTECH INTERNATIONAL,,38967014200030
8996,FOR NAILS,,75026731200015
8997,FRANCESCO SMALTO INTERNATIONAL,,32912079400030
8998,AFFIPERF,,48376143300059
8999,PLANET.FR,,41200154700048
9001,B2B EN-TRADE,,52239233100016
9003,TELECONVERGENCE,,51295219300021
9004,CALA PARTNERS,,52432916600028
9007,LIEBHERR-AEROSPACE TOULOUSE SAS,,55201683400053
9008,GALITT,,32982251400074
9009,WORLD FREIGHT COMPANY,,45341415300016
9010,LES ECHOS SOLUTION,LES ECHOS,40816515700053
9011,AXYS CONSULTANTS,,34309990900040
9013,STX FRANCE S.A.,,43906761200036
9014,MGC INTERNATIONAL M.G.C,,32355282800010
9015,IMHOFF,,34949686900018
9016,BMW DISTRIBUTION,,44386010100072
9017,PARROT,,03635006400014
9018,SHINE FRANCE,,51380534100031
9019,SAS SERVICE CONCIERGE,JOHN PAUL,48528123200028
9020,BANQUE CENTRALE DE COMPENSATION,LCH GROUP,69203248500108
9021,AML SYSTEMS,,51999840500038
9022,AXYON (SDMG),,39163426800034
9024,GAZTRANSPORT ET TECHNIGAZ,,66200140300077
9025,MANN HUMMEL FRANCE,,42861054700070
9027,M R INGENIERIE,,38078340700048
9028,BEAUTY GLAM STORE,,78911919500012
9029,SPIE BATIGNOLLES CONCESSIONS,,42865537700060
9031,DOMOTIQUE CONCEPT & COMMUNICATION SYSTEM (DCCS),,35191645700077
9032,ADVESE,,42415758400048
9033,THOMAS MARKO & ASSOCIES,,34194941000052
9034,LA PERLA FRANCE,,40063929000016
9035,CAPTIVE STUDIO,CAPTIVE STUDIO,51353174900028
9036,BOUCHERIE DE LA GARE,,31426994500015
9037,DEVELOPMENT SOLUTIONS GOVERNANCE,,48198615600018
9038,BARCLAYS BANK PLC,BARCLAYS BANK,38106628100951
9039,CARREVOLUTIS,GROUPE CARREVOLUTIS,51347383500025
